X, Y, Z, WIDTH, HEIGHT, AVERAGE-Y, AVERAGE-U, AVERAGE-V, MIN-Y, MIN-U, MIN-V, MAX-Y, MAX-U, MAX-V, STDEV-Y, STDEV-U, STDEV-V
0.35766456, 0.70278096, 0.5, 0.54834694, 0.523199, 0.29836753, 0.27238297, 1.0, 0.4166816, 0.37944758, 0.8477026, 0.1154024, 0.17145851, 1.0, 0.43765026, 0.35187027, 0.7944585
0.47915766, 0.5260372, 0.5, 0.29917222, 0.8711698, 0.3203833, 0.7760323, 0.6096634, 1.0, 0.7596917, 0.7867153, 0.3022506, 0.7465937, 0.43510583, 0.10703468, 0.61150634, 0.22973263
0.46632832, 0.49407873, 0.5, 0.8172996, 0.4969024, 0.28735965, 0.28451908, 0.9878725, 0.5088649, 0.33191708, 0.817209, 0.15544128, 0.19493341, 1.0, 0.53533083, 0.40497163, 0.8788253
0.6452546, 0.3204897, 0.5, 0.43153954, 0.940547, 0.29836753, 0.745692, 0.6096634, 1.0, 0.7676135, 0.7867153, 0.142095, 0.6820377, 0.42536074, 0.056905955, 0.62961537, 0.21732691
0.5368523, 0.84680736, 0.5, 0.5754945, 0.8250731, 0.22131237, 0.7274878, 0.618459, 0.46277323, 0.7676135, 0.6799876, 0.29557747, 0.6292192, 0.43510583, 0.053522557, 0.5845688, 0.22554329
0.35759616, 0.7027943, 0.5, 0.54816574, 0.5233281, 0.29836753, 0.27238297, 1.0, 0.4166816, 0.37152582, 0.8477026, 0.1154024, 0.17145851, 1.0, 0.43350238, 0.34985495, 0.7916395
0.63514626, 0.68793267, 0.5, 0.49259627, 0.942032, 0.27635175, 0.7396239, 0.6096634, 0.57800233, 0.7596917, 0.7409749, 0.3956747, 0.6820377, 0.43510583, 0.11507952, 0.6310831, 0.21673316
0.46689835, 0.49417287, 0.5, 0.81692743, 0.49236134, 0.27635175, 0.28451908, 0.9878725, 0.27840668, 0.33191708, 0.817209, 0.15544128, 0.19493341, 1.0, 0.534072, 0.40438583, 0.87959266
0.44202182, 0.49645084, 0.5, 0.60829794, 0.46045062, 0.3203833, 0.27238297, 0.9878725, 0.3244983, 0.3477606, 0.8248324, 0.16211444, 0.21253958, 1.0, 0.5048368, 0.40096653, 0.82987094
0.5363598, 0.84664947, 0.5, 0.5640733, 0.8189733, 0.22131237, 0.7274878, 0.618459, 0.30145246, 0.7676135, 0.6799876, 0.29557747, 0.6292192, 0.44485092, 0.046776354, 0.58550805, 0.22199973
